,GPS Elevation (m),RSRQ (dB),RSRP (dBm),GPS HDOP,Log Time,Network Band,GPS Speed (km/h),Latitude,Longitude,deg,min
1,GPS Elevation (m),RSRQ (dB),RSRP (dBm),GPS HDOP,Log Time,Network Band,GPS Speed (km/h),,,,
3,GPS Elevation (m),RSRQ (dB),RSRP (dBm),GPS HDOP,Log Time,Network Band,GPS Speed (km/h),,,,
12,GPS Elevation (m),RSRQ (dB),RSRP (dBm),GPS HDOP,Log Time,Network Band,GPS Speed (km/h),,,,
43,GPS Elevation (m),RSRQ (dB),RSRP (dBm),GPS HDOP,Log Time,Network Band,GPS Speed (km/h),,,,
48,GPS Elevation (m),RSRQ (dB),RSRP (dBm),GPS HDOP,Log Time,Network Band,GPS Speed (km/h),,,,
50,GPS Elevation (m),RSRQ (dB),RSRP (dBm),GPS HDOP,Log Time,Network Band,GPS Speed (km/h),,,,
51,268.0,-15,-72,0.8,Fri Jun 18 2021 00:09:20 UTC,LTE BAND 2,0.0,45.082886,-93.38227,93.0,0.38226998
52,278.0,-13,-73,0.6,Fri Jun 18 2021 00:10:21 UTC,LTE BAND 2,0.0,45.082954,-93.38227,93.0,0.38226998
53,281.0,-15,-73,0.6,Fri Jun 18 2021 00:11:21 UTC,LTE BAND 2,0.0,45.082973,-93.382256,93.0,0.38225502
54,283.0,-15,-72,0.6,Fri Jun 18 2021 00:12:21 UTC,LTE BAND 2,0.0,45.082993,-93.38223,93.0,0.38223332
55,285.0,-11,-73,0.6,Fri Jun 18 2021 00:13:21 UTC,LTE BAND 2,0.0,45.083023,-93.38222,93.0,0.38221666
56,286.0,-14,-73,0.6,Fri Jun 18 2021 00:14:21 UTC,LTE BAND 2,0.0,45.08304,-93.382195,93.0,0.382195
57,287.0,-9,-73,0.6,Fri Jun 18 2021 00:15:21 UTC,LTE BAND 2,0.0,45.083042,-93.38218,93.0,0.38218
