,GPS Elevation (m),RSRQ (dB),RSRP (dBm),GPS HDOP,Log Time,Network Band,GPS Speed (km/h),Latitude,Longitude,deg,min
0,267.0,-11,-87,1.6,Tue Sep 28 2021 00:00:31 UTC,LTE BAND 4,0.0,44.843403,-93.2849,93.0,0.28489667
1,267.0,-7,-86,2.0,Tue Sep 28 2021 00:01:31 UTC,LTE BAND 4,0.0,44.8434,-93.2849,93.0,0.28489667
2,267.0,-8,-87,1.9,Tue Sep 28 2021 00:02:30 UTC,LTE BAND 4,0.0,44.8434,-93.28489,93.0,0.28489
3,267.0,-8,-87,1.7,Tue Sep 28 2021 00:03:30 UTC,LTE BAND 4,0.0,44.8434,-93.28489,93.0,0.28489
4,267.0,-8,-86,2.9,Tue Sep 28 2021 00:04:30 UTC,LTE BAND 4,0.0,44.8434,-93.28489,93.0,0.28489
5,267.0,-8,-86,1.5,Tue Sep 28 2021 00:05:31 UTC,LTE BAND 4,0.0,44.8434,-93.28489,93.0,0.28489
6,267.0,-10,-87,1.7,Tue Sep 28 2021 00:06:31 UTC,LTE BAND 4,0.0,44.8434,-93.28489,93.0,0.28489
7,267.0,-9,-86,2.3,Tue Sep 28 2021 00:07:31 UTC,LTE BAND 4,0.0,44.8434,-93.28489,93.0,0.28489
8,267.0,-9,-87,2.1,Tue Sep 28 2021 00:08:31 UTC,LTE BAND 4,0.0,44.8434,-93.28489,93.0,0.28489
9,267.0,-9,-87,2.8,Tue Sep 28 2021 00:09:31 UTC,LTE BAND 4,0.0,44.8434,-93.28489,93.0,0.28489
10,267.0,-10,-87,2.2,Tue Sep 28 2021 00:10:30 UTC,LTE BAND 4,0.0,44.8434,-93.28489,93.0,0.28489
12,267.0,-10,-86,1.8,Tue Sep 28 2021 00:12:31 UTC,LTE BAND 4,0.0,44.8434,-93.28489,93.0,0.28489
13,267.0,-10,-86,1.8,Tue Sep 28 2021 00:13:31 UTC,LTE BAND 4,0.0,44.8434,-93.28489,93.0,0.28489
14,GPS Elevation (m),RSRQ (dB),RSRP (dBm),GPS HDOP,Log Time,Network Band,GPS Speed (km/h),,,,
15,267.0,-8,-86,1.9,Tue Sep 28 2021 00:14:31 UTC,LTE BAND 4,0.0,44.8434,-93.28489,93.0,0.28489
16,267.0,-11,-87,1.6,Tue Sep 28 2021 00:15:31 UTC,LTE BAND 4,0.0,44.8434,-93.28489,93.0,0.28489
17,267.0,-7,-87,2.7,Tue Sep 28 2021 00:16:31 UTC,LTE BAND 4,0.0,44.8434,-93.28489,93.0,0.28489
18,267.0,-10,-87,2.0,Tue Sep 28 2021 00:17:30 UTC,LTE BAND 4,0.0,44.8434,-93.28489,93.0,0.28489
19,267.0,-7,-86,1.8,Tue Sep 28 2021 00:18:31 UTC,LTE BAND 4,0.0,44.8434,-93.28489,93.0,0.28489
20,267.0,-10,-87,2.1,Tue Sep 28 2021 00:19:30 UTC,LTE BAND 4,0.0,44.8434,-93.28489,93.0,0.28489
22,267.0,-7,-86,1.9,Tue Sep 28 2021 00:21:31 UTC,LTE BAND 4,0.0,44.8434,-93.28489,93.0,0.28489
23,267.0,-10,-86,1.8,Tue Sep 28 2021 00:22:31 UTC,LTE BAND 4,0.0,44.8434,-93.28489,93.0,0.28489
24,267.0,-9,-86,2.1,Tue Sep 28 2021 00:23:31 UTC,LTE BAND 4,0.0,44.8434,-93.28489,93.0,0.28489
25,267.0,-9,-87,4.1,Tue Sep 28 2021 00:24:31 UTC,LTE BAND 4,0.0,44.8434,-93.28489,93.0,0.28489
26,267.0,-6,-87,3.6,Tue Sep 28 2021 00:25:31 UTC,LTE BAND 4,0.0,44.8434,-93.28489,93.0,0.28489
27,267.0,-7,-87,1.8,Tue Sep 28 2021 00:26:31 UTC,LTE BAND 4,0.0,44.8434,-93.28489,93.0,0.28489
28,267.0,-9,-87,2.3,Tue Sep 28 2021 00:27:31 UTC,LTE BAND 4,0.0,44.8434,-93.28489,93.0,0.28489
29,266.0,-10,-86,1.8,Tue Sep 28 2021 00:28:30 UTC,LTE BAND 4,0.0,44.8434,-93.28489,93.0,0.28489
30,GPS Elevation (m),RSRQ (dB),RSRP (dBm),GPS HDOP,Log Time,Network Band,GPS Speed (km/h),,,,
31,266.0,-8,-87,1.6,Tue Sep 28 2021 00:29:31 UTC,LTE BAND 4,0.0,44.8434,-93.28489,93.0,0.28489
32,266.0,-11,-87,1.8,Tue Sep 28 2021 00:30:31 UTC,LTE BAND 4,0.0,44.8434,-93.28489,93.0,0.28489
33,266.0,-9,-87,2.0,Tue Sep 28 2021 00:31:31 UTC,LTE BAND 4,0.0,44.8434,-93.28489,93.0,0.28489
